"Standard","スタンダード"
"Reload order totals on postal code change","郵便番号の変更にご注文合計をリロードする"
"Set 'Yes' if you have an active discount or tax rate for some zipcode","郵便番号に適用できるアクティブなディスカウントもしくは税率をお持ちの場合は、「はい」と設定してください"
"Set 'Yes' if you have an active discount or tax rate for some region","地域に適用できるアクティブなディスカウントもしくは税率をお持ちの場合は、「はい」と設定してください"
"Invalid VAT number","無効VAT番号"
"The VAT validation service unavailable. Please re-submit your request later.","VATバリデーション・サービスはご利用できません。後ほどリクエストを再提出してください。"
"The provided CountryCode is invalid or the VAT number is empty","指定した国番号が無効であるかVAT番号が入力されていません"
"The VAT validation service cannot process your request. Try again later.","VATバリデーション・サービスはあなたのリクエストを処理できません。後ほどもう一度お試しください。"
"Unknown VAT validation service message. Try again later.","VATバリデーション・サービスによる未確認メッセージ。後ほどもう一度お試しください。"
"The provided CountryCode is invalid for the VAT number","指定された国番号がVAT番号に対して無効です"
"Delivery Date and Time","配達の日付と時刻"
"Delivery Date","配達の日付"
"Delivery Time","配達時刻"
"Display Mode","表示モード"
"Use Calendar","カレンダーを使用する"
"Exclude the Weekend Days","週末を除く"
"Dates to Exclude","除外する日付"
"Use Time Range","時間範囲を使用する"
"Time Ranges","時間範囲"
"We cannot deliver the package at the selected date. Please select another date for the delivery","選択された日付にパッケージを配達できません。別の日を選択してください。"
"We cannot deliver the package at the selected time. Please select another time for the delivery","選択された時刻にパッケージを配達できません。別の時刻を選択してください。"
"Show for All Shipping Methods","すべての配送方法を表示する"
"Show for Specific Shipping Methods","詳しい配送方法を表示する"
"MM/DD/YYYY","月/日/年"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","このメールアドレスはすでに登録されたお客様により使われています。あなたのアカウントに登録する際は、このメールアドレスでログインするか、別のメールアドレスを入力してください。"
