"GeoIP is enabled but not included. geoip_open function doesn't found","GeoIP ist aktiviert, aber nicht eingebunden. geoip_open-Funktion nicht gefunden"
"Country detection is enabled but %s not found","Ländererkennung ist aktiviert, aber %s wurde nicht gefunden"
"Region detection is enabled but %s not found","Regionenerkennung ist aktiviert, aber %s wurde nicht gefunden"
"City detection is enabled but %s not found","Städteerkennung ist aktiviert, aber %s wurde nicht gefunden"
"Redirect to firecheckout after adding an item to the shopping cart","Nach Hinzufügen eines Artikels in den Einkaufswagen zur Schnellkasse weiterleiten"
"Ajax","Ajax"
"Reload order totals on region change","Bei Änderung der Region Bestellsumme neu laden"
"Reload order totals on payment method change","Bei Änderung der Zahlungsmethode Bestellsumme neu laden"
"Reload shipping methods on country change","Bei Änderung des Landes Versandarten neu laden"
"Reload payment methods on country change","Bei Änderung des Landes Zahlungsmethoden neu laden"
"Register customer during Paypal Express checkout if prompted","Wenn verlangt, den Kunden während der Zahlung über PayPal Express registrieren"
"Ship to the same address","An dieselbe Adresse versenden"
"Validate taxvat number","UID-Nummer prüfen"
"Use online VIES validation","Online-VIES-Prüfung verwenden"
"Show Giftcard Field","Geschenkkartenfeld anzeigen"
"Works with Magento Enterprise/Pro Versions Only","Funktioniert nur mit den Magento Enterprise/Pro-Versionen"
"Address Form Fields Sort Order","Reihenfolge der Felder des Adressformulars"
"To place the fields in one row, set their order values in continuous chain: 1,2 or 12,13 or 20,21</br>To place fields in separate rows break the order values chain: 1,3 or 12,18 or 20,30","Um die Felder in eine Reihe zu bringen, setzen Sie ihre Ordnungswerte in eine fortlaufende Reihe: 1,2 oder 12,13 oder 20,21</br>Um Felder in getrennte Reihen zu setzen, brechen Sie die Reihenfolge der Ordnungswerte auf: 1,3 oder 12,18 oder 20,30"
"Set 'Yes' if some of your methods are using allowed countries option","Wenn einige Ihrer Methoden die Option ""zulässige Länder"" verwenden, geben Sie ""Ja"" ein"
"Reload payment methods on order total change","Bei Änderung der Bestellsumme Zahlungsmethoden neu laden"
"Set 'Yes' if some of your methods are using min/max order total option","Wenn einige Ihrer Methoden die Option ""min./max. Bestellsumme"" nutzen, geben Sie ""Ja"" ein"
"Reload shipping methods on postal code change","Bei Änderung der Postleitzahl Versandarten neu laden"
"Reload shipping methods on region change","Bei Änderung der Region Versandarten neu laden"
"Reload shipping methods on order total change","Bei Änderung der Bestellsumme Versandarten neu laden"
"Set 'Yes' if you have an active discount for some payment method","Wenn Sie für eine Zahlungsmethode einen aktiven Rabatt haben, geben Sie ""Ja"" ein"
"Reload order totals on shipping method change","Bei Änderung der Versandart Bestellsumme neu laden"
"Reload order totals on country change","Bei Änderung des Landes Bestellsumme neu laden"
"Set 'Yes' if you have an active discount or tax rate for some country","Wenn sie einen aktiven Rabatt oder Steuersatz für ein Land haben, geben Sie ""Ja"" ein"
"Reload order totals on postal code change","Bei Änderung der Postleitzahl Bestellsumme neu laden"
"Set 'Yes' if you have an active discount or tax rate for some zipcode","Wenn Sie einen aktiven Rabatt oder Steuersatz für eine Postleitzahl haben, geben Sie ""Ja"" ein"
"Set 'Yes' if you have an active discount or tax rate for some region","Wenn Sie einen aktiven Rabatt oder Steuersatz für eine Region haben, geben Sie ""Ja"" ein"
"Invalid VAT number","Ungültige UID-Nummer"
"The VAT validation service unavailable. Please re-submit your request later.","Der UID-Prüfdienst ist nicht verfügbar. Bitte stellen Sie Ihre Anfrage später erneut."
"The provided CountryCode is invalid or the VAT number is empty","Der angegebene Ländercode ist ungültig oder die UID-Nummer ist leer"
"The VAT validation service cannot process your request. Try again later.","Der UID-Prüfdienst kann Ihre Anfrage nicht bearbeiten. Versuchen Sie es später noch einmal."
"Unknown VAT validation service message. Try again later.","Unbekannte UID-Prüfmitteilung. Versuchen Sie es später noch einmal."
"The provided CountryCode is invalid for the VAT number","Der angegebene Ländercode ist für die UID-Nummer ungültig"
"Delivery Date and Time","Lieferdatum und -zeit"
"Delivery Date","Lieferdatum"
"Delivery Time","Lieferzeit"
"Display Mode","Anzeigeart"
"Use Calendar","Kalender verwenden"
"Exclude the Weekend Days","Wochenendtage ausschließen"
"Dates to Exclude","Auszuschließende Daten"
"Use Time Range","Zeitbereich verwenden"
"Time Ranges","Zeitbereiche"
"We cannot deliver the package at the selected date. Please select another date for the delivery","Wir können die Bestellung nicht zum gewählten Datum liefern. Bitte wählen Sie ein anderes Datum für die Lieferung."
"We cannot deliver the package at the selected time. Please select another time for the delivery","Wir können die Bestellung nicht zur gewählten Zeit liefern. Bitte wählen Sie eine andere Zeit für die Lieferung."
"Show for All Shipping Methods","Für Alle Versandarten anzeigen"
"Show for Specific Shipping Methods","Für Bestimmte Versandarten anzeigen"
"MM/DD/YYYY","MM/TT/JJJJ"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Es ist bereits ein Kunde registriert, der diese E-Mail-Adresse verwendet. Bitte melden Sie sich mit dieser E-Mail-Adresse an oder verwenden Sie eine andere E-Mail-Adresse, um Ihr Konto zu registrieren."
