"Standard","标准"
"GeoIP is enabled but not included. geoip_open function doesn't found","地理位置IP已启用但是并未包含在内。未找到geoip_open函数"
"Country detection is enabled but %s not found","已启用国家检测，但并未找到%s"
"Region detection is enabled but %s not found","已启用区域检测，但并未找到%s"
"City detection is enabled but %s not found","已启用城市检测，但并未找到%s"
"Redirect to firecheckout after adding an item to the shopping cart","向购物车添加了项目后跳转到快速结帐"
"Ajax","Ajax"
"Reload order totals on region change","区域变化时重载订单总额"
"Reload order totals on payment method change","支付方式变化时重载订单总额"
"Reload shipping methods on country change","国家变化时重载配送方式"
"Reload payment methods on country change","国家变化时重载支付方式"
"Register customer during Paypal Express checkout if prompted","Paypal快速结帐时提示注册账号"
"Ship to the same address","配送到相同的地址"
"Validate taxvat number","校验VAT税务号码"
"Use online VIES validation","使用在线VIES校验"
"Show Giftcard Field","显示礼品卡字段"
"Works with Magento Enterprise/Pro Versions Only","仅适用于Magento企业版/专业版"
"Address Form Fields Sort Order","地址表单字段排列顺序"
"To place the fields in one row, set their order values in continuous chain: 1,2 or 12,13 or 20,21</br>To place fields in separate rows break the order values chain: 1,3 or 12,18 or 20,30","为了把这些字段放在同一行，设置他们的顺序值为连续值：1、2或12、13或20、21</br>想要将字段放在不同行，只需将顺序值设置为非连续即可：1、3或12、18或20、30"
"Set 'Yes' if some of your methods are using allowed countries option","如果您的方法使用了“允许的国家”选项，设置为“是”"
"Reload payment methods on order total change","在订单总额变化时重载支付方式"
"Set 'Yes' if some of your methods are using min/max order total option","如果您的某些支付方式使用了“最小/最大订单总额”选项，设置为“是”"
"Reload shipping methods on postal code change","邮政编码改变时重载配送方式"
"Reload shipping methods on region change","改变区域时重载配送方式"
"Reload shipping methods on order total change","订单总额变化时重载配送方式"
"Set 'Yes' if you have an active discount for some payment method","如果某些支付方式有可用折扣，设置为“是”"
"Reload order totals on shipping method change","配送方式变化时重载订单总额"
"Reload order totals on country change","国家变化时重载订单总额"
"Set 'Yes' if you have an active discount or tax rate for some country","如果某些国家有可用的折扣或适用税率，设置为“是”"
"Reload order totals on postal code change","邮政编码变化时重载订单总额"
"Set 'Yes' if you have an active discount or tax rate for some zipcode","如果某些邮政编码有可用的折扣或使用税率，设置为“是”"
"Set 'Yes' if you have an active discount or tax rate for some region","如果某些区域有可用折扣或适用税率，设置为“是”"
"Invalid VAT number","无效的VAT号码"
"The VAT validation service unavailable. Please re-submit your request later.","VAT校验服务不可用。请稍后再次提交。"
"The provided CountryCode is invalid or the VAT number is empty","提供的国家代码无效或VAT号码为空"
"The VAT validation service cannot process your request. Try again later.","VAT校验服务无法处理您的请求。请稍后再试。"
"Unknown VAT validation service message. Try again later.","未知的VAT校验服务信息。请稍后再试。"
"The provided CountryCode is invalid for the VAT number","为VAT号码提供的国家代码无效"
"Delivery Date and Time","送达日期和时间"
"Delivery Date","送达日期"
"Delivery Time","送达时间"
"Display Mode","显示模式"
"Use Calendar","使用日历"
"Exclude the Weekend Days","排除周末"
"Dates to Exclude","要排除的日期"
"Use Time Range","使用时间范围"
"Time Ranges","时间范围"
"We cannot deliver the package at the selected date. Please select another date for the delivery","我们无法在已选的日期将包裹送达。选择其他的送达日期"
"We cannot deliver the package at the selected time. Please select another time for the delivery","我们无法在选择的时间送达包裹。请选择其他的送达时间"
"Show for All Shipping Methods","显示全部配送方式"
"Show for Specific Shipping Methods","显示特定的配送方式"
"MM/DD/YYYY","MM/DD/YYYY"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","已有客户使用此电子邮件地址注册。请使用此电子邮件地址登录或输入不同的电子邮件地址注册您的账号。"
