"Standard","Padrão"
"Works with Magento Enterprise/Pro Versions Only","Funciona Apenas nas Versões Magento Enterprise e Pro"
"Address Form Fields Sort Order","Ordenamento dos Campos do Formulário de Endereço"
"To place the fields in one row, set their order values in continuous chain: 1,2 or 12,13 or 20,21</br>To place fields in separate rows break the order values chain: 1,3 or 12,18 or 20,30","Para dispor os campos numa única linha, defina-lhes os números de ordem numa cadeia contínua: 1,2 ou 12,13 ou 20,21</br>Para dispor os campos em linhas separadas, quebre a cadeia de números de ordem: 1,3 ou 12,18 ou 20,30"
"Set 'Yes' if some of your methods are using allowed countries option","Marque ""Sim"" se algum dos seus métodos está a utilizar a opção ""países permitidos"""
"Reload payment methods on order total change","Recarregar métodos de pagamento após alteração do total da encomenda"
"Set 'Yes' if some of your methods are using min/max order total option","Marque ""Sim"" se algum dos seus métodos está a utilizar a opção ""total mínimo/máximo de encomenda"""
"Reload shipping methods on postal code change","Recarregar modos de envio após alteração do código postal"
"Reload shipping methods on region change","Recarregar modos de envio após alteração da região"
"Reload shipping methods on order total change","Recarregar modos de envio após alteração do total da encomenda"
"Set 'Yes' if you have an active discount for some payment method","Marque ""Sim"" se tem um desconto activo para algum método de pagamento"
"Reload order totals on shipping method change","Recarregar totais da encomenda após alteração do modo de envio"
"Reload order totals on country change","Recarregar totais da encomenda após alteração do país"
"Set 'Yes' if you have an active discount or tax rate for some country","Marque ""Sim"" se está activo um desconto, ou uma taxa de imposto, para algum país"
"Reload order totals on postal code change","Recarregar totais da encomenda após alteração do código postal"
"Set 'Yes' if you have an active discount or tax rate for some zipcode","Marque ""Sim"" se está activo um desconto, ou uma taxa de imposto, para algum código postal"
"Set 'Yes' if you have an active discount or tax rate for some region","Marque ""Sim"" se está activo um desconto, ou uma taxa de imposto, para alguma região"
"Invalid VAT number","Número de IVA inválido"
"The VAT validation service unavailable. Please re-submit your request later.","O serviço de validação do número de IVA está indisponível. Por favor volte a submeter o seu pedido mais tarde."
"The provided CountryCode is invalid or the VAT number is empty","O código de país fornecido é inválido, ou o número de IVA está em branco"
"The VAT validation service cannot process your request. Try again later.","O serviço de validação do número de IVA não consegue processar o seu pedido. Volte a tentar mais tarde."
"Unknown VAT validation service message. Try again later.","Mensagem do serviço de validação do número de IVA desconhecida. Volte a tentar mais tarde."
"The provided CountryCode is invalid for the VAT number","O código de país fornecido é inválido para o número de IVA"
"Delivery Date and Time","Data e Horário de Entrega"
"Delivery Date","Data de Entrega"
"Delivery Time","Horário de Entrega"
"Display Mode","Modo de visualização"
"Use Calendar","Usar Calendário"
"Exclude the Weekend Days","Excluir os Fins-de-Semana"
"Dates to Exclude","Datas a Excluir"
"Use Time Range","Usar Intervalo de Tempo"
"Time Ranges","Intervalos de Tempo"
"We cannot deliver the package at the selected date. Please select another date for the delivery","Não podemos entregar a encomenda na data seleccionada. Por favor seleccione outra data para a entrega."
"We cannot deliver the package at the selected time. Please select another time for the delivery","Não podemos entregar a encomenda no horário seleccionado. Por favor seleccione outro horário para a entrega."
"Show for All Shipping Methods","Mostrar para Todos os Modos de Envio"
"Show for Specific Shipping Methods","Mostrar para Modos de Envio Específicos"
"MM/DD/YYYY","MM/DD/AAAA"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Existe já um cliente registado com este endereço de correio electrónico. Por favor autentique-se utilizando este endereço, ou insira um novo endereço para registar a sua conta."
